,index,Unnamed: 0,text,tags
26,26,26.0,"The Happy Place is a fun-filled activity center located in Surat. The center offers a wide range of indoor and outdoor activities for all age groups, including virtual reality games, laser tag, bowling, go-karting, and more. Visitors can also enjoy delicious snacks and drinks at the in-house cafe. Its specialty lies in being a perfect place to spend quality time with family and friends ","['Activity center', 'Entertainment', 'Family-friendly']"
27,27,27.0,Suvali Beach in Surat is a scenic and serene beach that offers a peaceful getaway from the city. It provides stunning views of the Arabian Sea and opportunities for swimming and sunbathing. Speciality: Known for its black sand and picturesque sunsets.,"['Beach', 'Sunbathing', 'Black Sand']"
28,28,28.0,"Turtle Festival is an annual event held in the coastal town of Velas, Maharashtra. The festival is aimed at promoting conservation of the endangered Olive Ridley turtles that come to lay eggs on the beach. Visitors can witness the release of newly hatched turtles into the sea, attend educational workshops and seminars, and enjoy local food and cultural performances. Its specialty lies in being a unique and meaningful way to experience nature and contribute to wildlife conservation.","['Wildlife conservation', 'Cultural festival', 'Nature experience']"
29,29,29.0,"Sneh Rashmi Botanical Garden and Nature Library in Surat is a peaceful oasis in the heart of the city. It provides a wide variety of plants, trees, and green spaces for visitors to explore, as well as a nature library for education and research. It is Home to rare and exotic species like the Madagascar palm and the African tulip tree.","['Botanical Garden', 'Nature Library', 'Rare and Exotic Species']"
30,30,30.0,"Jagdishchandra Bose Garden in Surat is a charming park that offers a tranquil escape from the hustle and bustle of the city. It provides well-manicured gardens, walking paths, and a variety of trees and plants. Speciality: Features a musical fountain show in the evenings.","['Park', 'Tranquil Atmosphere', 'Musical Fountain Show']"
31,31,31.0,"Bardoli Satyagraha Memorial in Surat is a tribute to the Indian freedom fighters who protested against the British salt tax. The memorial features a bronze statue of Mahatma Gandhi, an exhibition hall showcasing the history of the Satyagraha, and a library with books on India's independence movement. Visitors can learn about the significance of the Satyagraha, pay their respects to the martyrs, and explore the exhibits. Its specialty lies in being a reminder of India's struggle for freedom.","['Historical monument', 'Indian independence movement', 'Mahatma Gandhi']"
32,32,32.0,Muglisara Lake in Surat is a serene waterbody surrounded by lush greenery. The lake offers a picturesque setting for a relaxing stroll or a picnic with family and friends. Visitors can also enjoy boating or take a walk on the walking track surrounding the lake. Its specialty lies in being a peaceful oasis in the midst of the bustling city of Surat.,"['Lake', 'Picnic spot', 'Boating']"
33,33,33.0,"Harmony Icon in Surat is a modern shopping mall that offers a diverse range of retail outlets and dining options. It provides a comfortable and convenient shopping experience for visitors, with a variety of popular brands and entertainment options. Speciality: Known for its multiplex cinema and indoor amusement park.","['Shopping Mall', 'Multiplex Cinema', 'Indoor Amusement Park']"
34,34,34.0,"Kavi Narmad Central Library in Surat is a state-of-the-art facility that houses a vast collection of books, manuscripts, and other reference material. The library is named after Kavi Narmad, a renowned Gujarati poet, writer, and playwright. Visitors can browse through the books, use the reading room or access the digital resources available. Its specialty lies in being a hub of knowledge and a great resource for students, researchers, and book lovers alike. ","['Library', 'Knowledge hub', 'Reading room']"
35,35,35.0,"Ubharat Beach in Surat is a beautiful and pristine beach that offers a perfect weekend escape from the city. It provides a peaceful and serene environment for visitors to relax, with crystal-clear waters and soft sands. Speciality: Known for its scenic views, water sports activities, and delicious seafood","['Beach', 'Water Sports', 'Seafood']"
36,36,36.0,"The Gateway of India is a historic arch monument located in Mumbai, India. It was built to commemorate the visit of King George V and Queen Mary to Mumbai in 1911. The monument stands as a symbol of India's rich history and architectural heritage. Visitors can take a boat ride from the nearby harbour, or just enjoy the stunning view of the Arabian Sea. Its specialty lies in being an iconic landmark of Mumbai and a must-visit destination for tourists.","['Monument', 'Iconic Landmark', 'Tourist attraction']"
37,37,37.0,"Chhatrapati Shivaji Terminus in Mumbai is a UNESCO World Heritage Site and one of the busiest railway stations in India. It is known for its impressive Victorian-Gothic architecture, featuring turrets, domes, and stained glass windows. Speciality: Serves as a hub for both local and long-distance trains, connecting Mumbai to various destinations across the country.","['Railway Station', 'UNESCO World Heritage Site', 'Victorian-Gothic Architecture']"
38,38,38.0,"Marine Drive is a 3-kilometer-long promenade located in South Mumbai, India. It is also known as the ""Queen's Necklace"" due to its stunningly beautiful curved shape that resembles a string of pearls. The road winds along the Arabian Sea, offering a mesmerizing view of the sunset and the city skyline. Visitors can take a leisurely walk, enjoy the fresh sea breeze, or simply sit on the benches and watch the world go by. Its specialty lies in being a popular spot for evening walks and a great place to experience the pulse of Mumbai city.

","['Promenade', 'Sunset view', 'Cityscape']"
39,39,39.0,"Chowpatty Beach in Mumbai is a bustling and lively beach that offers a variety of activities and entertainment for visitors. It is known for its scenic views of the Arabian Sea and the iconic Marine Drive skyline. It Features street food stalls, cultural events, and religious celebrations, making it a hub of local culture and traditions.","['Lively Beach', 'Scenic Views', 'Local Culture and Traditions']"
40,40,40.0,"Haji Ali Dargah is a mosque and tomb located on a small island off the coast of Mumbai, India. It is one of the most famous landmarks of Mumbai and attracts thousands of visitors every day. The structure is built in Indo-Islamic style, with intricate marble work and a white dome. Visitors can walk to the mosque during low tide, or take a ferry during high tide. Its specialty lies in being a significant religious site and a popular tourist destination in Mumbai.","['Mosque', 'Indo Islamic structure', 'Religious site']"
41,41,41.0,"Siddhivinayak Temple in Mumbai is a popular and revered Hindu temple dedicated to Lord Ganesha. It is known for its beautiful architecture, intricate carvings, and spiritual ambience that attracts thousands of devotees every day. Speciality: Home to one of the wealthiest Ganesh idols in the world, adorned with precious stones and gold.","['Hindu Temple', 'Lord Ganesha', 'Wealthiest Ganesh Idol']"
42,0,0.0,"Mahalaxmi Temple is a Hindu temple dedicated to the goddess Mahalaxmi, located in the Mahalaxmi area of Mumbai, India. It is one of the oldest and most famous temples in Mumbai, dating back to the 18th century. The temple complex is a blend of Hindu and Islamic architectural styles, with a grand entrance and a tall spire. The goddess Mahalaxmi is worshipped here in three forms: Mahakali, Mahalaxmi, and Mahasaraswati. Visitors can offer prayers, participate in aarti, and receive blessings from the priests. Its specialty lies in being a significant religious site and a symbol of Mumbai's cultural heritage.","['Hindu temple', 'Religious site', 'Cultural heritage']"
43,1,1.0,"The Elephanta Caves near Mumbai are a magnificent example of rock-cut architecture, dating back to the 5th to 8th centuries. The caves feature stunning sculptures and carvings of Hindu gods and goddesses, and are renowned for their intricate detailing and spiritual significance. Speciality: Accessible by a short ferry ride from Mumbai, the caves offer a fascinating glimpse into India's rich cultural heritage and history.","['UNESCO World Heritage Site', 'Rock-cut Architecture', 'Hindu Sculptures']"
44,2,2.0,"Sanjay Gandhi National Park is a protected area located in Mumbai, India. It is spread across 87 square kilometers and is home to a variety of flora and fauna, including tigers, leopards, deer, monkeys, and more than 250 species of birds. The park offers a range of activities for visitors, including trekking, boating, cycling, and wildlife safaris. The Kanheri Caves, a group of ancient Buddhist rock-cut caves, are also located within the park. Its specialty lies in being a unique wilderness area in the heart of Mumbai and a popular destination for nature lovers.","['Wildlife park', 'Nature reserve', 'trekking']"
45,3,3.0,"EsselWorld in Mumbai is a thrilling amusement park that offers a wide range of rides and attractions for visitors of all ages. It is known for its exciting roller coasters, water rides, and entertainment shows that provide a fun-filled experience for the whole family. Speciality: Features India's tallest and longest roller coaster, the Nitro, and a host of other exciting rides and games. ","['Amusement Park', 'Thrill Rides', 'Family Entertainment']"
46,4,4.0,"Juhu Beach is a popular tourist spot in Mumbai, India, known for its long stretch of sandy shores, lively atmosphere, and street food stalls. It is a popular destination for locals and visitors alike, who come to enjoy the sunset, take a stroll on the beach, or indulge in some local street food. The beach also offers activities such as horse and camel rides, and a variety of water sports such as surfing and swimming. Its specialty lies in being one of the most visited beaches in Mumbai, attracting a diverse crowd of people throughout the year.","['Beach', 'Tourist attraction', 'Street food']"
47,5,5.0,"The Bandra-Worli Sea Link is a cable-stayed bridge in Mumbai, India, spanning the Arabian Sea to connect the suburbs of Bandra and Worli. It is one of the most iconic landmarks of the city and a marvel of modern engineering. The sea link is 5.6 kilometers long and has eight lanes for vehicular traffic. It offers breathtaking views of the sea and the city skyline, especially during sunset and at night. Its specialty lies in being a symbol of Mumbai's modernity and progress.","['Landmark', 'Engineering marvel', 'Scenic drive']"
48,6,6.0,"The Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, formerly known as the Prince of Wales Museum, is a museum in Mumbai, India, dedicated to art, history, and culture. The museum was established in 1922 and has a vast collection of art, artifacts, and natural history exhibits. It is considered one of the premier museums in the country, with collections ranging from ancient Indian art to European paintings and sculptures. Its specialty lies in being a repository of the rich cultural heritage of India and the world.

","['Museum', 'Artifacts', 'Culture and History']"
49,7,7.0,"Colaba Causeway is a bustling street market located in the southern part of Mumbai, India. It is a popular shopping destination for locals and tourists alike, known for its colorful shops selling a variety of items including clothing, jewelry, accessories, and handicrafts. Visitors can also find a range of street food options here, making it a great place to experience the local cuisine. The specialty of Colaba Causeway is its lively atmosphere and the unique shopping experience it offers.","['Market', 'Lively', 'Street Food']"
50,8,8.0,"Dr. Bhau Daji Lad Museum is the oldest museum in Mumbai, India. It is housed in a stunning heritage building and boasts an impressive collection of art, craft, and historical objects, including ancient Indian sculpture, contemporary art, and decorative arts. The museum provides insights into Mumbai's rich cultural heritage and is a must-visit for history and art enthusiasts. The speciality of the Dr. Bhau Daji Lad Museum is its unique collection and the historic building it is housed in. ","['Museum', 'Art & History', 'Historic building']"
51,9,9.0,"Jehangir Art Gallery is a popular art gallery located in Mumbai, India. It is a hub for contemporary art exhibitions, showcasing the work of both established and emerging Indian artists. The gallery hosts a range of art events, including painting exhibitions, photography displays, and sculpture exhibitions, making it a hub for art enthusiasts. The speciality of Jehangir Art Gallery is its long-standing reputation as one of India's leading art galleries, making it a must-visit for those interested in contemporary art.","['Art Gallery', 'Contemporary Art', 'Exhibitions']"
52,10,10.0,"Kanheri Caves is a group of caves located in the Sanjay Gandhi National Park in Mumbai, India. It is a popular tourist attraction and a site of historical and religious significance. The caves date back to the 1st century BCE and were used by Buddhist monks as a place of meditation and study. Visitors can explore the various caves, each of which has its unique sculptures, inscriptions, and architecture. The speciality of Kanheri Caves is its historical and cultural significance, making it an essential destination for history and architecture enthusiasts.","['Historical Site', 'Buddhist Caves', 'Tourist Attraction']"
53,11,11.0,"Mumba Devi Temple is a Hindu temple located in the heart of Mumbai, India. It is dedicated to the goddess Mumba, the patron deity of the city of Mumbai. The temple is believed to have been built in the 18th century and is considered one of the oldest temples in Mumbai. Visitors can admire the intricate architecture and carvings of the temple and participate in daily puja and aarti ceremonies. The speciality of Mumba Devi Temple is its religious significance and historical significance as one of the oldest temples in the city. ","['Hindu Temple', 'Architecture', 'Historical Landmark']"
54,12,12.0,"Nehru Planetarium is a public planetarium located in Mumbai, India. It is named after India's first Prime Minister, Jawaharlal Nehru, who was a strong advocate for science education. The planetarium offers a range of educational programs and shows that explore the wonders of the universe and our place in it. Visitors can enjoy interactive exhibits, 3D shows, and guided tours of the night sky in the planetarium's dome theater. The speciality of Nehru Planetarium is its role in promoting scientific education and curiosity among visitors.","['Planetarium', 'Science Education', 'Interactive Exhibits']"
55,13,13.0,"Nehru Science Centre is a science museum in Mumbai, India. It is named after India's first Prime Minister, Jawaharlal Nehru, who believed in promoting scientific education and fostering a scientific temperament in society. The centre houses a range of interactive exhibits and science demonstrations that are designed to engage visitors of all ages in the wonders of science and technology. The speciality of Nehru Science Centre is its focus on hands-on learning and its role in promoting scientific curiosity and education among the general public.","['Science Museum', 'Interactive Exhibits', 'Hands-on Learning']"
56,14,14.0,"The Rajabai Clock Tower, situated in the Fort campus of the University of Mumbai, is an iconic landmark known for its beautiful architecture and historical significance.","['Landmark', 'Architecture', 'Historical']"
57,15,15.0,"Taraporewala Aquarium is a popular marine center showcasing various sea creatures and their habitats. Visitors can witness the diverse marine life, attend educational shows, and learn about conservation efforts. Speciality: The aquarium features one of the largest marine tanks in India.","['Marine center', 'Educational shows', 'Tourist place']"
58,16,16.0,"Madh Island Beach is a picturesque beach destination located in Mumbai, known for its serene atmosphere and clean sandy shores. Visitors can enjoy swimming, sunbathing and water sports, while also indulging in local cuisine and shopping.","['Beach destination', 'Water sports', 'Local cuisine.']"
59,17,17.0,"Versova Beach is a scenic beach on the Arabian Sea that offers recreational activities such as beach walks, sports and relaxation. Known for its cleanliness and beautiful sunsets.","['Beach walks, sports, relaxation']"
60,18,18.0,"Carter Road is a coastal road located in Bandra, Mumbai. It is a popular promenade and jogging track with a variety of restaurants and cafes.","['Promenade', 'Jogging track', 'Restaurants']"
61,19,19.0,"Mount Mary Church is a Roman Catholic Basilica known for its stunning architecture, scenic views, and religious significance. ","['Church', 'Basilica', 'Religious site']"
62,0,0.0,"The Red Fort is a historic fort in Delhi, India, known for its stunning red sandstone architecture. It served as the residence for Mughal Emperors for nearly 200 years. Visitors can explore the intricate structures and gardens within the fort's walls. ","['historical site', 'Mughal architecture', 'tourist attraction']"
63,1,1.0,Qutub Minar is a UNESCO world heritage site and one of the tallest brick minarets in the world. Visitors can climb up the spiral staircase to get a panoramic view of Delhi,"['historic site', 'architectural marvel', 'viewpoint']"
64,2,2.0,"India Gate is a war memorial located in the heart of Delhi, India. It was built in memory of the Indian soldiers who died in World War I. People can enjoy picnics, walks, and boating nearby. ","['War Memorial', 'boating', 'Picnic Spot']"
65,3,3.0,Qutub Minar is a UNESCO world heritage site and the tallest brick minaret in the world. Visitors can explore the ancient Islamic architecture and learn about Delhi's rich history. ,"['UNESCO world heritage site', 'Islamic architecture', 'tourist attraction']"
66,4,4.0,"Lotus Temple is a Bahá'í House of Worship shaped like a lotus flower. Visitors can meditate, pray or simply enjoy the tranquil environment of this architectural marvel.","['Bahá’í House of Worship', 'Lotus-shaped', 'Meditation']"
67,5,5.0,"Humayun's Tomb is a UNESCO world heritage site and a magnificent example of Mughal architecture. Visitors can explore the beautiful gardens, tombs and learn about the history of Mughal India.","['UNESCO world heritage site ', 'Mughal architecture', 'gardens']"
68,6,6.0,"Akshardham Temple is a magnificent Hindu temple showcasing Indian art, culture and spirituality. Visitors can enjoy the breathtaking architecture, boat ride, and the enlightening exhibition on Indian values and traditions.","['Hindu temple', 'Boat Ride', 'Exhibition']"
69,7,7.0," Chandni Chowk is one of the oldest and busiest markets in Old Delhi, with narrow lanes and bustling bazaars. Visitors can shop for traditional Indian clothes, jewelry, spices and relish street food, making it a delight for all the senses.","['Marketplace', 'Traditional shopping', 'Street food']"
70,8,8.0,"The National Museum is one of the largest museums in India, showcasing a vast collection of art, culture and history. Visitors can explore the diverse range of artifacts and exhibits, from ancient Indian sculptures to modern art.","['Museum', 'Modern art', 'Art and History']"
71,9,9.0,"Delhi Zoo is a large, well-maintained zoo with a diverse collection of animals and birds from India and around the world. Visitors can observe various species, from tigers and elephants to exotic birds and reptiles, making it a great outing for all ages.

","['reptiles', 'Wildlife', 'Exotic birds']"
72,10,10.0,"Garden of Five Senses is a peaceful oasis in the heart of Delhi, designed to stimulate all the senses. Visitors can wander through the lush gardens, enjoy the art installations, and relish the delicious food and drinks, making it a perfect retreat from the hustle and bustle of the city.","['Garden', 'Art installations', 'Culinary delights']"
73,11,11.0,"Fun N Food Village is a water park and amusement park with thrilling rides, water slides and a wave pool. Visitors can enjoy a fun day out with family and friends, and indulge in delicious food at the various eateries within the park.","['Amusement park', 'Water park', 'food stalls']"
74,12,12.0,"Salim Ali Bird Sanctuary is a lush mangrove forest with a rich variety of bird species, including kingfishers, egrets, and herons. Visitors can take a boat ride through the sanctuary to observe the birds and their natural habitat.

 ","['Bird sanctuary', 'Mangrove forest', 'Boat ride']"
75,13,13.0,"Bhagwan Mahavir Wildlife Sanctuary is a vast expanse of protected land with diverse flora and fauna, including tigers, leopards, and Indian bison. Visitors can go on a thrilling jungle safari, trek through the lush forest, and soak in the natural beauty of the sanctuary. ","['Wildlife sanctuary', 'Jungle safari', 'Nature trek']"
76,14,14.0,"Naval Aviation Museum is a fascinating museum showcasing the history and evolution of Indian Naval Aviation. Visitors can view vintage aircraft, engines, and weapons used by the Indian Navy, making it an insightful experience for aviation enthusiasts.","['Aviation museum', 'tourist attraction', 'Vintage aircraft']"
77,15,15.0,"Se Cathedral is a magnificent 16th-century Portuguese cathedral known for its impressive architecture and historical significance. Visitors can marvel at the stunning interiors, intricate carvings, and religious artifacts, making it a must-visit for history and architecture buffs.","['Cathedral', 'Portuguese architecture', 'Religious artifacts']"
78,16,16.0,"Chapora Fort is a popular tourist attraction in Goa, known for its stunning views of the Arabian Sea and the surrounding countryside. Visitors can explore the ruins of the fort, soak in the history and enjoy the picturesque surroundings, making it a great spot for photography enthusiasts.

","['Fort', 'Historical site', 'Scenic views']"
79,17,17.0,"Baga Beach is a popular tourist spot in Goa, known for its vibrant nightlife, water sports, and seafood shacks. Visitors can enjoy a relaxing day at the beach, go for a swim or indulge in adventurous water activities like parasailing, jet skiing, and banana boat rides.","['Sea food', 'Water sports', 'Nightlife']"
80,18,18.0,"Calangute Beach is one of the most popular beaches in Goa, known for its golden sand, clear water, and lively atmosphere. Visitors can enjoy water sports, sunbathing, and relaxing beach walks, as well as relishing the delicious food and drinks served at the numerous beach shacks.","['lively', 'Water sports', 'Beach shacks']"
81,19,19.0,"Anjuna Beach is a scenic and laid-back beach in Goa, known for its stunning sunset views, flea market, and nightlife. Visitors can relax on the beach, explore the nearby attractions, and shop for souvenirs at the weekly Wednesday flea market, making it a must-visit destination for tourists. ","['Sunset view', 'Flea market', 'Nightlife']"
82,20,20.0,"Arambol Beach is a serene and secluded beach in North Goa, known for its crystal clear water, soft sand, and tranquil atmosphere. Visitors can relax on the beach, indulge in yoga or meditation sessions, and relish the fresh seafood served at the beach shacks, making it a perfect destination for those seeking peace and quiet","['secluded beach', 'Yoga', 'Seafood']"
83,21,21.0,"Candolim Beach is a beautiful and peaceful beach in North Goa, known for its scenic beauty, water sports, and beach shacks. Visitors can enjoy water sports like jet skiing, parasailing, and banana boat rides, savor the delicious seafood served at the beach shacks, or simply relax and soak in the stunning views of the Arabian Sea.

","['scenic beauty', 'Water sports', 'Seafood']"
84,22,22.0,"Morjim Beach is a picturesque and serene beach in North Goa, known for its golden sand, clear water, and nesting site of the endangered Olive Ridley sea turtles. Visitors can relax on the beach, witness the nesting and hatching of the sea turtles, and savor the delicious food served at the beach shacks, making it a perfect destination for nature lovers.","['Beach Shacks', 'Sea turtles', 'Serene']"
85,23,23.0," Palolem Beach is a stunning and crescent-shaped beach in South Goa, known for its tranquil atmosphere, clear water, and pristine sand. Visitors can enjoy water sports like kayaking, paddle boating, and swimming, explore the nearby attractions, or simply relax and soak in the beauty of the beach.

","['Beach', 'Water sports', 'Relaxation']"
86,24,24.0,"Colva Beach is a beautiful and serene beach in South Goa, known for its white sand, palm trees, and picturesque surroundings. Visitors can relax on the beach, enjoy water sports like jet skiing and parasailing, or explore the nearby attractions, making it a perfect destination for both relaxation and adventure.","['Beach', 'Water sports', 'Relaxation']"
87,25,25.0,"Vagator Beach is a stunning and scenic beach in North Goa, known for its red cliffs, clear water, and vibrant nightlife. Visitors can relax on the beach, witness the beautiful sunset views, enjoy water sports like jet skiing and banana boat rides, or explore the nearby attractions, making it a perfect destination for both relaxation and adventure.

 ","['Red cliffs', 'Water sports', 'Nightlife']"
88,26,26.0,"Basilica of Bom Jesus is a UNESCO World Heritage Site and one of the most famous churches in Goa, known for its beautiful Baroque architecture and the tomb of St. Francis Xavier. Visitors can admire the intricate carvings and decorations in the church, learn about the history and culture of Goa, and attend the daily masses held in the church. ","['Tourist attraction', 'UNESCO World Heritage Sit', 'architecture']"
89,27,27.0," Dudhsagar Waterfalls is a majestic and breathtaking waterfall located on the Mandovi River in Goa, known for its milky white cascading water and lush green surroundings. Visitors can trek through the dense forest, swim in the refreshing pool beneath the waterfall, and enjoy the stunning views of the waterfall, making it a perfect destination for nature lovers and adventure seekers.","['Waterfalls', 'Trekking', 'Nature']"
90,28,28.0," Fort Aguada is a 17th-century Portuguese fort and lighthouse located on the Sinquerim Beach in North Goa, known for its stunning sea views and historical significance. Visitors can explore the fort, admire the panoramic views of the sea, and learn about the history and culture of Goa, making it a perfect destination for history buffs and photography enthusiasts.

","[' Portuguese Fort', 'Lighthouse', 'Sea view']"
