,text,name,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index
107,"
Bhagavathy Amman Temple",['Bhagavathy Amman Temple'],107.0,,,,
108,"
Gandhi Memorial",['Gandhi Memorial'],108.0,,,,
109,"
Padmanabhapuram Palace",['Padmanabhapuram Palace'],109.0,,,,
110,"
Suchindram Thanumalayan Temple",['Suchindram Thanumalayan Temple'],110.0,,,,
111,"
Vattakottai Fort",['Vattakottai Fort'],111.0,,,,
112,"
Udayagiri Fort",['Udayagiri Fort'],112.0,,,,
113,"
Mathur Hanging Bridge",['Mathur Hanging Bridge'],113.0,,,,
114,"
Sunset View Point",['Sunset View Point'],114.0,,,,
115,"
Wax Museum",['Wax Museum'],115.0,,,,
116,"
Kamarajar Mani Mantapa Monument",['Kamarajar Mani Mantapa Monument'],116.0,,,,
117,"
Triveni Sangam",['Triveni Sangam'],117.0,,,,
118,"
St. Xavier's Church","[""St. Xavier's Church""]",118.0,,,,
119,"
Sothavilai Beach",['Sothavilai Beach'],119.0,,,,
120,"
Tsunami Memorial Park",['Tsunami Memorial Park'],120.0,,,,
121,"
Chitharal Jain Monuments",['Chitharal Jain Monuments'],121.0,,,,
122,"
Thanumalayan Temple",['Thanumalayan Temple'],122.0,,,,
123,"
Courtallam Falls",['Courtallam Falls'],123.0,,,,
124,Rajwada Palace,['Rajwada Palace'],124.0,,,,
125,"
Lal Bagh Palace",['Lal Bagh Palace'],125.0,,,,
126,"
Pipliyapala Regional Park",['Pipliyapala Regional Park'],126.0,,,,
127,"
Indore Museum",['Indore Museum'],127.0,,,,
128,"
Kanch Mandir",['Kanch Mandir'],128.0,,,,
129,"
Annapurna Temple",['Annapurna Temple'],129.0,,,,
130,"
Khajrana Ganesh Temple",['Khajrana Ganesh Temple'],130.0,,,,
131,"
Sarafa Bazaar",['Sarafa Bazaar'],131.0,,,,
132,"
Chhappan Dukaan",['Chhappan Dukaan'],132.0,,,,
133,"
Bijasen Tekri",['Bijasen Tekri'],133.0,,,,
134,"
Bada Ganpati",['Bada Ganpati'],134.0,,,,
135,"
Gomatgiri",['Gomatgiri'],135.0,,,,
136,"
Patalpani Waterfall",['Patalpani Waterfall'],136.0,,,,
137,"
Tincha Falls",['Tincha Falls'],137.0,,,,
138,"
Ralamandal Wildlife Sanctuary",['Ralamandal Wildlife Sanctuary'],138.0,,,,
139,"
Meghdoot Upvan",['Meghdoot Upvan'],139.0,,,,
140,"
Pipliyapala Lake",['Pipliyapala Lake'],140.0,,,,
141,"
Chokhi Dhani",['Chokhi Dhani'],141.0,,,,
142,"
Kamla Nehru Prani Sanghralaya",['Kamla Nehru Prani Sanghralaya'],142.0,,,,
143,"
Mahatma Gandhi Hall",['Mahatma Gandhi Hall'],143.0,,,,
144,Government Island State Park,['Government Island State Park'],144.0,,,,
145,"
Government Canyon State Natural Area",['Government Canyon State Natural Area'],145.0,,,,
146,"
Government Camp",['Government Camp'],146.0,,,,
147,"
Government Hill Historic District",['Government Hill Historic District'],147.0,,,,
148,"
Government House",['Government House'],148.0,,,,
149,"
Government Center",['Government Center'],149.0,,,,
150,"
Government Center Station",['Government Center Station'],150.0,,,,
151,"
Government Square",['Government Square'],151.0,,,,
152,"
Government Plaza Station",['Government Plaza Station'],152.0,,,,
153,"
Government Street Presbyterian Church",['Government Street Presbyterian Church'],153.0,,,,
154,"
Government Point",['Government Point'],154.0,,,,
155,"
Government Springs",['Government Springs'],155.0,,,,
156,"
Government Peak",['Government Peak'],156.0,,,,
157,"
Government Peak Trailhead",['Government Peak Trailhead'],157.0,,,,
158,"
Government Lock",['Government Lock'],158.0,,,,
159,"
Government Cove",['Government Cove'],159.0,,,,
160,"
Government Flat",['Government Flat'],160.0,,,,
161,"
Government Mineral Springs",['Government Mineral Springs'],161.0,,,,
162,"
Government Holes",['Government Holes'],162.0,,,,
163,"
Government Dam",['Government Dam'],163.0,,,,
164,Sethi Dhaba is a must-visit for anyone looking to enjoy some authentic Punjabi food. ,['Sethi Dhaba'],0.0,0.0,,,
165, Kulfi Hub offers a variety of delicious kulfis and other desserts. ,['Kulfi Hub'],1.0,1.0,,,
166, Mr. Singh's Pizza is a popular pizza joint that serves delicious wood-fired pizzas. ,"[""Mr. Singh's Pizza""]",2.0,2.0,,,
167, Pal Dhaba is known for its mouth-watering tandoori chicken and other Punjabi dishes. ,['Pal Dhaba'],3.0,3.0,,,
168," Tasty Bite is a great spot for some fast food, including burgers, sandwiches, and fries. ",['Tasty Bite'],4.0,4.0,,,
169," Bittu Tikki Wala is a popular chaat stall that offers a range of tasty snacks like aloo tikki, papri chaat, and gol gappas. ",['Bittu Tikki Wala'],5.0,5.0,,,
170," Cafe JC's is a popular hangout spot that offers a variety of dishes, including continental, Chinese, and Indian cuisine. ","[""Cafe JC's""]",6.0,6.0,,,
171, The Chocolate Room is a great spot for some delicious hot chocolate and other chocolate-based desserts. ,['The Chocolate Room'],7.0,7.0,,,
172, The Green Leaf offers a range of refreshing juices and smoothies made from fresh fruits and vegetables. ,['The Green Leaf'],8.0,8.0,,,
173, The Burger Company is a great place to grab a juicy burger with all the fixings.,['The Burger Company'],9.0,9.0,,,
174,Dumas Beach is a popular spot for swimming and relaxing in the sun. ,['Dumas Beach'],10.0,10.0,,,
175," Jagdishchandra Bose Aquarium is home to a variety of marine life, including sharks and sea turtles. ",['Jagdishchandra Bose Aquarium'],11.0,11.0,,,
176, Dutch Garden is a serene garden that features a beautiful Dutch cemetery and a few old Dutch houses. ,['Dutch Garden'],12.0,12.0,,,
177, Ambika Niketan Temple is a beautiful temple dedicated to Lord Shiva and is a must-visit for anyone interested in Hindu mythology. ,['Ambika Niketan Temple'],13.0,13.0,,,
178, Science Centre is an educational and entertaining destination that offers a range of exhibits and activities for visitors of all ages. ,['Science Centre'],14.0,14.0,,,
179," Sneh Rashmi Botanical Garden is a peaceful garden that is home to a variety of plant species, including rare and exotic plants. ",['Sneh Rashmi Botanical Garden'],15.0,15.0,,,
180, Dandi Bridge is a beautiful suspension bridge that offers stunning views of the Tapi River. ,['Dandi Bridge'],16.0,16.0,,,
181," Sarthana National Park is a popular wildlife sanctuary that is home to a variety of animals, including leopards, hyenas, and crocodiles. ",['Sarthana National Park'],17.0,17.0,,,
182, Surat Castle is a historic fort that dates back to the 16th century and is a popular tourist attraction. ,['Surat Castle'],18.0,18.0,,,
183, Suvali Beach is a beautiful and peaceful beach that is perfect for a relaxing day trip.,['Suvali Beach'],19.0,19.0,,,
184, The Irish House is a popular bar that serves a variety of beers and pub grub. ,['The Irish House'],20.0,20.0,,,
185, Social is a trendy bar that offers a range of cocktails and fusion food. ,['Social'],21.0,21.0,,,
186, Monkey Bar is a quirky bar that serves delicious cocktails and small plates. ,['Monkey Bar'],22.0,22.0,,,
187," Glocal Junction is a great spot for some delicious food and drinks, with a lively atmosphere. ",['Glocal Junction'],23.0,23.0,,,
188," The Bar Stock Exchange is a unique bar that lets customers trade in drinks, with prices fluctuating based on demand. ",['The Bar Stock Exchange'],24.0,24.0,,,
189, Bonobo is a popular music venue that also serves drinks and small bites. ,['Bonobo'],25.0,25.0,,,
190," The Bombay Canteen is a great spot for some delicious food and drinks, with a trendy and modern atmosphere. ",['The Bombay Canteen'],26.0,26.0,,,
191, The Daily Bar and Kitchen is a popular bar that offers a range of drinks and small plates in a relaxed atmosphere. ,['The Daily Bar and Kitchen'],27.0,27.0,,,
192," The Bar Terminal is a cozy bar that offers a range of cocktails and mocktails, with a great ambiance. ",['The Bar Terminal'],28.0,28.0,,,
193, Khar Social is a lively bar that serves a range of cocktails and fusion food.,['Khar Social'],29.0,29.0,,,
194,10 Downing Street is a popular bar that serves a range of cocktails and food. ,['10 Downing Street'],30.0,30.0,,,
195, Hops n Grains is a microbrewery that serves delicious craft beers and pub grub. ,['Hops n Grains'],31.0,31.0,,,
196, The BrewMaster is another popular microbrewery that offers a range of beers and food. ,['The BrewMaster'],32.0,32.0,,,
197," Ministry of Bar Exchange is a unique bar that lets customers trade in drinks, with prices fluctuating based on demand. ",['Ministry of Bar Exchange'],33.0,33.0,,,
198," Peddlers is a lively bar that serves a range of cocktails and food, with a great atmosphere. ",['Peddlers'],34.0,34.0,,,
199," Virgin Courtyard is a great spot for some delicious food and drinks, with a cozy and relaxed atmosphere. ",['Virgin Courtyard'],35.0,35.0,,,
200," Brooklyn Central is a trendy bar that offers a range of cocktails and food, with a cool and modern vibe. ",['Brooklyn Central'],36.0,36.0,,,
201, The Back Room is a cozy and intimate bar that serves a range of cocktails and small plates. ,['The Back Room'],37.0,37.0,,,
202, The Beer Cafe is a popular chain of bars that offers a wide variety of beers and food. ,['The Beer Cafe'],38.0,38.0,,,
203," The Great Bear is a spacious bar that offers a range of drinks and food, with a lively atmosphere.",['The Great Bear'],39.0,39.0,,,
204,"Chandni Chowk is one of the oldest and busiest markets in Delhi, known for its narrow lanes and traditional shops. ",['Chandni Chowk'],40.0,40.0,,,
205," Sarojini Nagar Market is a popular spot for bargain hunters, offering a range of clothing and accessories at affordable prices. ",['Sarojini Nagar Market'],41.0,41.0,,,
206," Khan Market is a posh and upscale market that is home to a variety of designer boutiques, bookstores, and cafes. ",['Khan Market'],42.0,42.0,,,
207," Dilli Haat is a colorful and vibrant market that showcases a range of handicrafts, textiles, and food from different regions of India. ",['Dilli Haat'],43.0,43.0,,,
208," Connaught Place is a popular shopping and dining destination, with a mix of high-end stores and street vendors. ",['Connaught Place'],44.0,44.0,,,
209," Janpath Market is a popular spot for tourists, offering a range of handicrafts, clothing, and jewelry at affordable prices. ",['Janpath Market'],45.0,45.0,,,
210, Lajpat Nagar Market is a bustling market known for its traditional Indian wear and street food. ,['Lajpat Nagar Market'],46.0,46.0,,,
211," Karol Bagh Market is a popular shopping destination for wedding attire and jewelry, as well as electronics and household items. ",['Karol Bagh Market'],47.0,47.0,,,
212, South Extension Market is a posh and upscale market that offers a range of high-end brands and designer stores. ,['South Extension Market'],48.0,48.0,,,
213, Select Citywalk Mall is a modern and spacious mall that is home to a variety of international and Indian brands,['Select Citywalk Mall'],49.0,49.0,,,
214,VR Punjab Mall is a modern shopping mall that houses a range of international and Indian brands. ,['VR Punjab Mall'],50.0,50.0,,,
215, North Country Mall is another popular mall in the area that offers a mix of high-end and affordable stores. ,['North Country Mall'],51.0,51.0,,,
216, Phase 7 Market is a bustling market known for its traditional Punjabi clothing and street food. ,['Phase 7 Market'],52.0,52.0,,,
217," Mohali Central Market is a popular spot for buying fresh fruits, vegetables, and other daily essentials. ",['Mohali Central Market'],53.0,53.0,,,
218, Shalimar Mega Mall is a spacious mall that offers a range of stores and restaurants. ,['Shalimar Mega Mall'],54.0,54.0,,,
219, Bestech Square Mall is a relatively new mall that houses a variety of stores and a cinema. ,['Bestech Square Mall'],55.0,55.0,,,
220, Mohali Stadium Market is a popular spot for buying sports equipment and clothing. ,['Mohali Stadium Market'],56.0,56.0,,,
221, Phase 3B2 Market is a small but busy market that offers a range of shops and street food. ,['Phase 3B2 Market'],57.0,57.0,,,
222, Balongi Market is a local market that is known for its fresh produce and street food. ,['Balongi Market'],58.0,58.0,,,
